"Category","Tag","Rank","Page","Wall_ID","Fans","PTA"
"brands","travel","357","Pearl of the Indian Ocean Sri Lanka","221957784541168","48127","508"
"brands","travel","358","Setur","199303673445174","47575","931"
"brands","travel","359","Bayu Buana Travel Services","130376530607","47141","103"
"brands","travel","360","Itaka","162050760476163","46985","2083"
"brands","travel","361","Eco reserva Mbatoví","133740330008984","46880","240"
"brands","travel","362","Altayyar Online","182102101815988","46628","228"
"brands","travel","363","LISBOA Live","209600022449498","46574","23231"
"brands","travel","364","Pamediakopes.gr","383200350863","46243","2289"
"brands","travel","365","Singapore Cable Car","244339288934249","46094","422"
"brands","travel","366","Sol Hotels","235722867506","45595","154"
"brands","travel","367","AirFastTickets Greece","115455838493747","45238","7250"
"brands","travel","368","Letuška","129458713490","44979","1295"
"brands","travel","369","Corsica Ferries","117091614967","44906","2496"
"brands","travel","370","S-Trip!","8573700796","44583","2303"
"brands","travel","371","Costa Croisieres","80036468348","44549","2313"
"brands","travel","372","Hyatt house","222017117822130","44315","230"
"brands","travel","373","Viking Line Suomi","189835218208","44265","929"
"brands","travel","374","HotelTravel.com","47192914833","44063","3750"
"brands","travel","375","Therme Geinberg","124046276297","43240","725"
"brands","travel","376","Swissôtel Lima","132242923474685","43080","194"
"brands","travel","377","Korea Tourism Organization Thailand","116607928412901","42929","2821"
"brands","travel","378","Must See India","22871241779","42761","358"
"brands","travel","379","Best Western México","123501071025589","42728","4398"
"brands","travel","380","Innsbruck - Tyrol (Austria)","113676951994041","42689","2123"
"brands","travel","381","Belambra","107685315784","42458","196"
"brands","travel","382","Wspólne przejazdy | carpooling.pl","293375966735","42215","1388"
"brands","travel","383","OneTwoTrip","175064085850585","41954","6390"
"brands","travel","384","Hurtigruten","18725108909","41828","3069"
"brands","travel","385","Copper Mountain","169466835811","41779","4868"
"brands","travel","386","Comunidadviajera","360386670715069","41774","14254"
"brands","travel","387","flyniki.com","81559897623","41716","547"
"brands","travel","388","Our Awesome Planet","8063094508","41712","498"
"brands","travel","389","BookPortugal","195743513805858","41669","1630"
"brands","travel","390","Tignes","132972980063736","41669","4398"
"brands","travel","391","Experimento Intercâmbio Cultural","199558850059046","41402","22231"
"brands","travel","392","Sands Cotai Central 金沙城中心","154761274604175","41270","465"
"brands","travel","393","Nitro City Panama (Action Sports…","137324523003220","41162","1371"
"brands","travel","394","Decole Já","129965077072975","40962","26"
"brands","travel","395","Tatilbudur.com","196090920410975","40953","308"
"brands","travel","396","Megabon Slovenija","219952478035256","40911","2119"
"brands","travel","397","A la conquête de l'Ardèche","189680621895","40644","5425"
"brands","travel","398","Storebælt","242489099986","40633","1726"
"brands","travel","399","Destinology.com - Luxury Hotels","268392306563671","40630","20"
"brands","travel","400","Solmar Hotels &amp; Resorts","240773936425","40627","1127"
"brands","travel","401","Fiesta Inn","325373485682","40404","1684"
"brands","travel","402","Europa Royale Hotels","123669691008100","40376","43"
"brands","travel","403","Muumimaailma - Moominworld","214975735196156","39946","670"
"brands","travel","404","Eurostar","138616680296","39595","667"
"brands","travel","405","Marina D'Or","146096876751","39433","443"
"brands","travel","406","Homewood Suites","243597484709","39220","4108"
"brands","travel","407","kulula","145976583494","39086","678"
"brands","travel","408","Ruefa","149128788488571","38914","8940"
"brands","travel","409","MSC Cruceros","96813986357","38822","2493"
"brands","travel","410","Tallink Silja Sverige","119667469320","38771","342"
"brands","travel","411","Vanilla Travel","188129060258","38547","1093"
"brands","travel","412","Virgin Holidays","107503249287452","38424","665"
"brands","travel","413","Atrápalo Colombia","190076607689800","38404","1289"
"brands","travel","414","Lomamatkat","125005668355","38367","236"
"brands","travel","415","ITC Hotels","35419446927","38244","2938"
"brands","travel","416","La Torre Resort  Brasil","138836012856748","38234","10183"
"brands","travel","417","Viajerama","191037814361857","38157","3090"
"brands","travel","418","Pferdesafari","195590301311","38025","1029"
"brands","travel","419","Color Line","119816408043392","37870","1318"
"brands","travel","420","I LOVE GUINCHO","354009279705","37425","11511"
"brands","travel","421","Pearl Continental, Lahore","106037262807337","37376","1351"
"brands","travel","422","i-escape.com","115500751280","37338","303"
"brands","travel","423","Traveling Kenya","165091496857309","37243","8414"
"brands","travel","424","LETALSKE.SI","124321190934419","37011","1618"
"brands","travel","425","Viví San Martín de los Andes","228858723896834","36838","11295"
"brands","travel","426","Travel One","447919988594106","36829","985"
"brands","travel","427","Ski amadé","286790788035","36818","1654"
"brands","travel","428","Castaway Resort Koh Lipe","102242225579","36629","2092"
"brands","travel","429","Агент.ру","192440974110824","36627","2324"
"brands","travel","430","Valadoo","101544966578658","36509","2173"
"brands","travel","431","The Peninsula Hong Kong","175064145329","36449","2940"
"brands","travel","432","Binoli - Urlaub mit airberlin","206815834666","36423","579"
"brands","travel","433","TUIfly.com","265567897793","36381","1438"
"brands","travel","434","Hilton HHonors Italia","132435060128936","36096","43"
"brands","travel","435","Pierre &amp; Vacances","99506391221","36058","1105"
